id,nama_tempat,kategori,kabupaten,deskripsi,rating,harga_tiket_wni,harga_tiket_wna,jam_buka,aktivitas,latitude,longitude
77,Pantai Bingin,Pantai,Badung,Pantai tersembunyi di kawasan Bukit Bali yang sangat populer di kalangan peselancar internasional. Dikenal dengan ombak barrel yang sempurna. Akses melalui anak tangga menuruni tebing yang cukup menantang.,4.6,10000,15000,06.00-18.00,"Surfing, berenang, berfoto, bersantai di tepi tebing",-8.8161,115.1082
78,Air Terjun Nungnung,Alam,Badung,Air terjun setinggi 50 meter yang megah di pedalaman Badung. Memerlukan trekking sekitar 500 anak tangga yang cukup menantang. Pemandangan air terjun yang deras di tengah hutan sangat spektakuler.,4.6,20000,30000,08.00-17.00,"Trekking, berfoto, berenang di kolam alami, menikmati alam",-8.4367,115.1983
79,Bukit Campuhan Ubud,Alam,Badung,Jalur trekking ikonik di Ubud melewati perbukitan hijau dengan pemandangan lembah yang memukau. Sangat populer untuk morning walk dan menikmati sunrise. Viral di Instagram karena keindahan alam yang autentik.,4.6,0,0,06.00-18.00,"Trekking, sunrise viewing, berfoto, meditasi, cycling",-8.4979,115.2494
80,Taman Ayun Pura Mengwi,Budaya,Badung,"Kompleks pura kerajaan Mengwi abad ke-17 yang dikelilingi kolam air seluas 1,5 hektar menciptakan kesan pura mengapung. Sangat indah dan fotogenik terutama saat pagi hari dengan kabut tipis di atas kolam.",4.6,30000,50000,08.00-18.00,"Wisata budaya, berfoto di pura mengapung, trekking taman, wisata religi",-8.5397,115.1726
81,Bali Swing Aloha Ubud,Taman Hiburan,Badung,Ayunan raksasa sangat viral di media sosial dengan ketinggian hingga 25 meter di atas lembah. Pemandangan alam Bali yang indah menjadi latar belakang foto yang sangat instagramable dan selalu ramai sepanjang tahun.,4.5,175000,175000,07.00-18.00,"Bali Swing ekstrem, berfoto instagramable, sky bike, flying fox",-8.5218,115.2799
82,Pantai Karma Kandara,Pantai,Badung,Pantai tersembunyi mewah di Desa Ungasan dengan pasir putih lembut dan air laut sejernih kristal. Suasananya sangat tenang dan jauh dari keramaian. Cocok untuk wisatawan yang mencari pengalaman pantai premium Bali.,4.7,0,0,07.00-19.00,"Berenang, snorkeling, bersantai, beach club premium, sunset viewing",-8.8371,115.1495
83,Pantai Melasti,Pantai,Badung,Pantai indah di kawasan Ungasan dengan tebing kapur yang menjulang dan pasir putih bersih. Air lautnya jernih berwarna biru kehijauan. Kini dilengkapi TT Beach Club yang langsung viral saat dibuka pada 2024.,4.7,10000,15000,07.00-22.00,"Berenang, snorkeling, berfoto di tebing, beach club, sunset viewing",-8.8568,115.1437
84,Pantai Pandawa,Pantai,Badung,"Pantai tersembunyi dikenal sebagai pantai rahasia Bali, dikelilingi tebing kapur menjulang dengan ukiran tokoh Pandawa lima yang megah. Diakses melalui jalan berliku membelah tebing, menjadikan pengalaman sangat unik.",4.6,15000,20000,07.00-18.00,"Berenang, kayak, snorkeling, berfoto di tebing, bersantai",-8.8409,115.1888
85,Pantai Dreamland,Pantai,Badung,Pantai eksotis di kawasan Bukit Pecatu dengan ombak besar yang disukai peselancar. Dikelilingi tebing kapur putih yang menambah keindahan. Pemandangan sunset dari tebing sangat dramatis dan fotogenik.,4.4,10000,20000,07.00-18.00,"Surfing, berenang, berfoto, sunset viewing",-8.8191,115.1141
86,Pura Uluwatu,Budaya,Badung,Pura Hindu yang berdiri megah di atas tebing setinggi 70 meter dengan pemandangan Samudra Hindia yang menakjubkan. Terkenal dengan pertunjukan Tari Kecak saat matahari terbenam yang menjadi salah satu pertunjukan paling epik di dunia.,4.8,30000,50000,07.00-19.00,"Melihat Tari Kecak, berfoto, wisata budaya, menyaksikan sunset dari tebing",-8.8291,115.0849
87,Waterbom Bali,Taman Hiburan,Badung,Taman air terbesar dan terbaik di Asia Tenggara yang berlokasi di Kuta. Menawarkan berbagai wahana seru dari perosotan air ekstrem hingga kolam ombak. Telah memenangkan banyak penghargaan bertaraf internasional.,4.6,340000,560000,09.00-18.00,"Wahana air, perosotan ekstrem, kolam ombak, lazy river, kuliner",-8.7228,115.1727
88,Garuda Wisnu Kencana GWK,Taman Hiburan,Badung,"Taman budaya dengan patung Garuda Wisnu Kencana setinggi 121 meter, salah satu patung tertinggi di dunia. Menawarkan berbagai pertunjukan seni budaya Bali yang megah dan pemandangan alam dari atas bukit.",4.5,150000,250000,08.00-22.00,"Melihat patung raksasa, pertunjukan seni budaya, foto, festival budaya",-8.8103,115.1675
89,Pantai Nusa Dua,Pantai,Badung,Pantai mewah di kawasan resort eksklusif Nusa Dua dengan pasir putih bersih dan air laut tenang dan jernih. Cocok untuk keluarga yang ingin bersantai dan melakukan berbagai jenis water sport.,4.7,0,0,06.00-18.00,"Berenang, snorkeling, water sport, bersantai, berjemur",-8.8009,115.2317
90,Pantai Jimbaran,Pantai,Badung,Pantai tenang dengan pasir putih bersih yang sangat terkenal sebagai pusat kuliner seafood tepi pantai. Suasana romantis dengan meja makan di pinggir pantai saat malam hari. Favorit untuk makan malam bersama pasangan.,4.6,0,0,06.00-23.00,"Makan seafood tepi pantai, berenang, sunset viewing, snorkeling",-8.7825,115.1672
91,Pantai Seminyak,Pantai,Badung,"Pantai premium di Bali yang terkenal dengan beach club mewah bertaraf internasional, restoran tepi pantai, dan suasana kosmopolitan. Tempat nongkrong favorit wisatawan muda dan digital nomad dari seluruh dunia.",4.6,0,0,06.00-22.00,"Sunset viewing, beach club, berenang, kuliner tepi pantai",-8.6878,115.161
92,Pantai Kuta,Pantai,Badung,Pantai paling ikonik di Bali yang terkenal dengan ombak cocok untuk berselancar dan pemandangan sunset yang memukau. Destinasi nomor satu yang paling banyak dikunjungi wisatawan mancanegara saat pertama ke Bali.,4.5,0,0,06.00-18.00,"Surfing, berenang, sunset viewing, berjalan di tepi pantai",-8.7185,115.1686
93,Gunung Batur,Alam,Bangli,Gunung berapi aktif dengan pemandangan sunrise,4.7,50000,100000,04:00-18:00,"Trekking sunrise, camping, fotografi",-8.2422,115.3753
94,Gunung Agung,Alam,Karangasem,Gunung tertinggi di Bali dengan nilai spiritual tinggi,4.8,75000,150000,00:00-23:59,"Pendakian, religi, fotografi",-8.3428,115.5083
95,Bukit Campuhan Ridge Walk,Alam,Gianyar,Jalur trekking populer dengan pemandangan perbukitan hijau,4.6,0,0,06:00-18:00,"Trekking, jogging, fotografi",-8.5069,115.2625
96,Bukit Asah,Alam,Karangasem,Tempat camping dengan view laut dan perbukitan,4.5,10000,20000,00:00-23:59,"Camping, fotografi, sunrise",-8.4633,115.6155
97,Museum Subak,Budaya,Tabanan,"Museum Subak adalah museum yang menyajikan informasi yang berkaitan dengan sistem irigasi (pengairan) sawah tradisional Bali Subak. Museum ini terletak di Kota Tabanan, Provinsi Bali.",4.2,20000,30000,08.00-17.00,"Wisata budaya, berfoto, wisata sejarah",-8.5445,115.1384
98,Subak,Budaya,Tabanan,"Museum Subak adalah museum yang menyajikan informasi yang berkaitan dengan sistem irigasi (pengairan) sawah tradisional Bali Subak. Museum ini terletak di Kota Tabanan, Provinsi Bali.",4.2,20000,30000,08.00-17.00,"Wisata budaya, berfoto, wisata sejarah",-8.5443,115.1385
99,Pura Alas Kedaton,Budaya,Tabanan,"Alas Kedaton inggih punika silih tunggil wana sané kedadosan genah wisata antuk akéh kawéntenang bojog sané pateh sekadi Sangeh taler Ubud Monkey Forest, galah ngeranjing ri kala jam 9 nganti jam 17. Wana ipun doh nyané kirang langkung 25 km saking Dénpasar, magenah ring wewidangan désa Kutuh, Marga, Tabanan.",4.2,20000,30000,08.00-17.00,"Wisata budaya, berfoto, wisata sejarah",-8.5295,115.1555
100,Pura Maospait,Budaya,Badung,"Pura Maospahit is a Balinese Hindu temple or pura located in Denpasar, Bali. The pura is known for its bare red brick architecture, reminiscent of the architecture of the 13th-century Majapahit Kingdom, hence the name.",4.6,20000,30000,08.00-17.00,"Wisata budaya, berfoto, wisata sejarah",-8.6538,115.2103
101,Bali Bird Park,Alam,Badung,"Bali Bird Park (Indonesian: Taman Burung Bali), is a tourist attraction in Bali, Indonesia. It is located at the Gianyar Regency and has an area of 2,000 square metres (0.49 acres).",4.2,15000,25000,08.00-17.00,"Trekking, berfoto, menikmati alam",-8.6,115.2515
102,Bali Reptile Park,Alam,Badung,"Bali Bird Park (Indonesian: Taman Burung Bali), is a tourist attraction in Bali, Indonesia. It is located at the Gianyar Regency and has an area of 2,000 square metres (0.49 acres).",4.2,15000,25000,08.00-17.00,"Trekking, berfoto, menikmati alam",-8.5991,115.2519
103,Pura Luhur Tanah Lot,Budaya,Tabanan,"Tanah Lot (Balinese: ᬢᬦᬄᬮᭀᬢ᭄) is a rock formation off the Indonesian island of Bali. It is home to the ancient Hindu pilgrimage temple Pura Tanah Lot (literally ""Tanah Lot temple""), a popular tourist and cultural icon for photography.Tanah Lot means ""Land [in the] Sea"" in the Balinese language.",4.6,20000,30000,08.00-17.00,"Wisata budaya, berfoto, wisata sejarah",-8.6193,115.0871
104,Sunrise viewpoint of Tanah Lot Temple,Budaya,Tabanan,"Tanah Lot (Balinese: ᬢᬦᬄᬮᭀᬢ᭄) is a rock formation off the Indonesian island of Bali. It is home to the ancient Hindu pilgrimage temple Pura Tanah Lot (literally ""Tanah Lot temple""), a popular tourist and cultural icon for photography.Tanah Lot means ""Land [in the] Sea"" in the Balinese language.",4.6,20000,30000,08.00-17.00,"Wisata budaya, berfoto, wisata sejarah",-8.6196,115.0863
105,Tanah Lot Temple,Budaya,Tabanan,"Tanah Lot (Balinese: ᬢᬦᬄᬮᭀᬢ᭄) is a rock formation off the Indonesian island of Bali. It is home to the ancient Hindu pilgrimage temple Pura Tanah Lot (literally ""Tanah Lot temple""), a popular tourist and cultural icon for photography.Tanah Lot means ""Land [in the] Sea"" in the Balinese language.",4.6,20000,30000,08.00-17.00,"Wisata budaya, berfoto, wisata sejarah",-8.6212,115.0869
106,Temple Tanah Lot,Budaya,Tabanan,"Tanah Lot (Balinese: ᬢᬦᬄᬮᭀᬢ᭄) is a rock formation off the Indonesian island of Bali. It is home to the ancient Hindu pilgrimage temple Pura Tanah Lot (literally ""Tanah Lot temple""), a popular tourist and cultural icon for photography.Tanah Lot means ""Land [in the] Sea"" in the Balinese language.",4.6,20000,30000,08.00-17.00,"Wisata budaya, berfoto, wisata sejarah",-8.6212,115.0869
107,Museum Bali,Budaya,Badung,"The Bali Museum is a museum of art and history located in Denpasar, Bali, Indonesia.The museum was built in 1931 by architect P.J. Moojen, near the location of the former royal palace of Denpasar, which had been burnt to the ground during the Dutch intervention in Bali (1906), and used it as a model for its outside walls and courtyards.There are four main buildings inside the museum, Tabanan displ",4.6,20000,30000,08.00-17.00,"Wisata budaya, berfoto, wisata sejarah",-8.6575,115.2187
108,Pura Petitenget,Budaya,Tabanan,"Pura Petitenget inggih punika silih tunggil Pura sané wénten ring Pulo Baliné. Pura Petitenget magenah ring Banjar Batu Belig, Désa Kerobokan Kelod, Kecamatan Kuta Utara, Kabupatén Badung, Bali.",4.6,20000,30000,08.00-17.00,"Wisata budaya, berfoto, wisata sejarah",-8.6821,115.1527
109,Vogelpark Bali,Budaya,Badung,"Vogelpark Bali is een vogelpark bij Batubulan op Bali.In het park bevinden zich circa 1000 vogels met vele soorten uit Bali, Lombok en andere delen van Indonesië. Ook zijn er vogels uit andere werelddelen.",4.2,20000,30000,08.00-17.00,"Wisata budaya, berfoto, wisata sejarah",-8.6223,115.2619
110,Bali Butterfly Park,Budaya,Tabanan,"Bali Butterfly Park is a butterfly park in Tabanan Regency, Bali, Indonesia. The park is home to some of the rare species of butterflies including the birdwing butterfly, swallowtail and great Mormon.Bali Butterfly Park is dedicated to research, breeding and preservation of butterflies.",4.2,20000,30000,08.00-17.00,"Wisata budaya, berfoto, wisata sejarah",-8.4802,115.1316
111,Pura Taman Mumbul,Budaya,Gianyar,"Pura Taman Mumbul inggih punika silih tunggil pura sané wénten ring Bali. Pura Taman Mumbul magenah ring Désa Sangéh, Kecamatan Abiansemal, Kabupatén Badung, Bali.",4.2,20000,30000,08.00-17.00,"Wisata budaya, berfoto, wisata sejarah",-8.4843,115.2128
112,Sangeh,Alam,Gianyar,"Sangeh adalah sebuah tempat pariwisata di pulau Bali yang terletak di Desa Sangeh, Kecamatan Abiansemal, Kabupaten Badung, Bali, Indonesia.Sangeh terkenal karena merupakan sebuah desa di mana monyet-monyet (beruk) berkeliaran dengan bebas dan dikeramatkan oleh penduduk setempat di sebuah hutan. Di tengah hutan ada pula sebuah pura yang bernama Pura Bukit Sari.Pura ini dibangun oleh Kerajaan Mengwi",4.2,15000,25000,08.00-17.00,"Trekking, berfoto, menikmati alam",-8.4817,115.2068
113,Museum Agung Bung Karno,Budaya,Badung,"Museum Agung Bung Karno is located in Denpasar, Bali. This four-story building houses collections related to Indonesia's first President Sukarno ranging from books, speeches and writings, to bicycles, tables, and beds which belonged to him.",4.6,20000,30000,08.00-17.00,"Wisata budaya, berfoto, wisata sejarah",-8.6724,115.2254
114,Sacred Monkey Forest Sanctuary,Budaya,Badung,"Mandala Suci Wenara Wana, or well known as Ubud Monkey Forest, is the sanctuary and natural habitat of the Balinese long-tailed macaque. It is located at Padangtegal Ubud, Bali.",4.2,20000,30000,08.00-17.00,"Wisata budaya, berfoto, wisata sejarah",-8.5187,115.2583
115,Main Temple,Budaya,Badung,"Pura Dalem Agung Padangtegal, or Padangtegal Great Temple of Death, is one of three Hindu temples making up a temple complex located in the Sacred Monkey Forest Sanctuary – commonly called the ""Ubud Monkey Forest"" – of Padangtegal, Ubud, Bali, Indonesia.Also called the ""Main Temple,"" Pura Dalem Agung Padangtegal lies in the southwestern part of the Ubud Monkey Forest grounds and is used for worshi",4.6,20000,30000,08.00-17.00,"Wisata budaya, berfoto, wisata sejarah",-8.5189,115.2586
116,Gereja Katolik Roh Kudus Katedral,Budaya,Badung,The Holy Spirit Cathedral (Indonesian: Katedral Roh Kudus) also called Denpasar Cathedral (Katedral Denpasar) is a religious building affiliated with the Catholic Church located in the city of Denpasar on the island of Bali in the south of the Asian country of Indonesia.,4.6,20000,30000,08.00-17.00,"Wisata budaya, berfoto, wisata sejarah",-8.674,115.2296
117,Ubud Monkey Forest,Budaya,Badung,"Mandala Suci Wenara Wana, or well known as Ubud Monkey Forest, is the sanctuary and natural habitat of the Balinese long-tailed macaque. It is located at Padangtegal Ubud, Bali.",4.2,20000,30000,08.00-17.00,"Wisata budaya, berfoto, wisata sejarah",-8.5193,115.2606
118,Bajra Sandhi Monument,Budaya,Badung,"Bajra Sandhi Monument is a monument to the struggles of the Balinese people throughout history. The monument is located in front of the Bali Governor's Office in Denpasar, Indonesia, on the island of Bali.",4.6,20000,30000,08.00-17.00,"Wisata budaya, berfoto, wisata sejarah",-8.6717,115.2339
119,Agung Rai Museum of Art,Budaya,Badung,"The Agung Rai Museum of Art (ARMA) is a museum located in Ubud on Bali, Indonesia.Lenzi, Iola (2004). Museums of Southeast Asia.",4.6,20000,30000,08.00-17.00,"Wisata budaya, berfoto, wisata sejarah",-8.5184,115.2621
120,Don Antonio Blanco Museum,Budaya,Badung,"The Blanco Renaissance Museum is a museum located in Ubud on Bali, Indonesia that opened December 28, 1998.Lenzi, Iola (2004). Museums of Southeast Asia.",4.6,20000,30000,08.00-17.00,"Wisata budaya, berfoto, wisata sejarah",-8.5049,115.254
121,Museum Rudana,Budaya,Badung,"Museum Rudana or Rudana Art Museum is an art museum in Peliatan, Gianyar Regency, Bali, Indonesia. It was built by Nyoman Rudana, following the concept of the Bali humanist philosophy of Tri Hita Karana, where art makes a contribution to public wellbeing.The 500 square meter building was built on 2.5 acres (10,000 m2) of land, and its cornerstone was laid on December 22, 1990.Its blessing ceremony",4.6,20000,30000,08.00-17.00,"Wisata budaya, berfoto, wisata sejarah",-8.5294,115.2715
122,Margarana Memorial Site,Budaya,Tabanan,"The Battle of Margarana (Indonesian: Puputan Margarana) was a battle fought between the Netherlands Indies Civil Administration (NICA) and the recently created, rebelling Ciung Wanara Battalion that occurred in Marga, in Bali Indonesia.As World War II ended, the British Army landed in Bali, disarmed occupying Japanese troops, and returned to Batavia. Some Dutch KNIL battalions under Gajah Merah, h",4.2,20000,30000,08.00-17.00,"Wisata budaya, berfoto, wisata sejarah",-8.4651,115.1638
123,Margarana Memorial,Budaya,Tabanan,"Monumen Nasional Taman Pujaan Bangsa Margarana adalah sebuah Monumen peringatan yang didirikan untuk mengenang tragedi Puputan Margarana, di Desa Marga, Kecamatan Marga, Kabupaten Tabanan, Bali. Pada Tanggal 20 November 1946 terjadilah pertempuran habis-habisan antara pasukan pejuang Republik Indonesia melawan kaum penjajah Belanda,di Banjar Kelaci, Desa Marga oleh pasukan Ciung Wanara di bawah pi",4.2,20000,30000,08.00-17.00,"Wisata budaya, berfoto, wisata sejarah",-8.465,115.1638
124,Kemenuh Butterfly Park,Alam,Badung,"Kemenuh Butterfly Park is a park with butterflies in Kemenuh, Sukawati, Gianyar, Bali, Indonesia. It is located among rice fields.This park focuses on conservation and education as well as being an attraction for tourists and locals to enjoy.The endangered kupu-kupu barong moth is found at the cocoon house in this park.",4.2,15000,25000,08.00-17.00,"Trekking, berfoto, menikmati alam",-8.5653,115.2842
125,Candi Tebing Tegallinggah,Budaya,Gianyar,"Candi Abing Tegallinggah utawi Candi Tegallinggah punika situs purbakala sané kalindungin ring Bali. Candi Tebing Tegallinggah katemuin olih Krijgsman pinaka Arkéolog wangsa Welanda, Magenah ring Tukad Pakerisan, Désa Pakraman Tegallinggah, Désa Bedulu, Kacamatan Blahbatuh, Kabupatén Gianyar, Provinsi Bali, Indonésia.",4.2,20000,30000,08.00-17.00,"Wisata budaya, berfoto, wisata sejarah",-8.5276,115.3068
126,Pura Samuan Tiga,Budaya,Badung,"Pura Samuan Tiga utawi Pura Samuantiga inggih punika pura sané magenah ring Bedulu, Blahbatuh, Gianyar, nampek sareng situs Goa Gajah. Mawit saking prasasti Manukaya sané merangka warsa 962 maséhi, kanikayang Pura Samuan Tiga kewangun ring aab sané pateh sareng Pura Tirta Empul punika sawatara abad ka-10.",4.2,20000,30000,08.00-17.00,"Wisata budaya, berfoto, wisata sejarah",-8.5238,115.2951
127,Pura Ukur Ukuran,Budaya,Gianyar,"Pura Pengukur-ukuran adalah tempat ibadah agama Hindu, di Indonesia yang ada di Dusun Sawagunung, Desa Pejeng Kelod, Kecamatan Tampaksiring, Kabupaten Gianyar, Propinsi Bali. Di Bali mayoritas penduduknya beragama Hindu, dan seperti pada umumnya pura yang ada di sana, Pura Pengukur-ukuran mempunyai tiga halaman utama.",4.2,20000,30000,08.00-17.00,"Wisata budaya, berfoto, wisata sejarah",-8.5074,115.3028
128,Pura Kebo Edan,Budaya,Badung,"Pura Kebo Edan adalah tempat peribadatan Hindu yang terletak di Desa Pejeng, Tampaksiring, Gianyar, Bali. Tempat ini kaya akan benda-benda arkeologi yang merupakan mata rantai sejarah perkembangan Kerajaan Hindu di Indonesia.Meskipun bukan tujuan wisata yang populer di Bali, Pura Kebo Edan sejak lama menjadi daya tarik turis lokal maupun mancanegara.",4.2,20000,30000,08.00-17.00,"Wisata budaya, berfoto, wisata sejarah",-8.5178,115.2925
129,Moon of Pejeng,Budaya,Badung,"The Moon of Pejeng, also known as the Pejeng Moon, in Bali is the largest single-cast bronze kettle drum in the world. and ""the largest known relic from Southeast Asia's Bronze Age period."" It is ""considered highly sacred by local people."" It is thought to be a relic of early rice cultivation rituals.The drum is 186.6 centimetres (73.5 in) high and the diameter of the tympano is 160 centimetres (6",4.6,20000,30000,08.00-17.00,"Wisata budaya, berfoto, wisata sejarah",-8.5137,115.2933
130,Goa Gajah cave,Budaya,Badung,"Goa Gajah, or Elephant Cave, is located on the island of Bali near Ubud, in Indonesia. Built in the 9th century, it served as a sanctuary.Although the exact origins of the cave are uncertain, it is believed to have been built as place for spiritual meditation.",4.6,20000,30000,08.00-17.00,"Wisata budaya, berfoto, wisata sejarah",-8.5235,115.2868
131,Tegenungan Waterfall,Pantai,Badung,"Tegenungan Waterfall is a waterfall in Bali, Indonesia. It is located at the village of Tegenungan Kemenuh, in the Gianyar Regency, north from the capital Denpasar and close to the Balinese artist village of Ubud.",4.2,0,0,08.00-17.00,"Bersantai, berenang, berfoto, snorkeling",-8.5546,115.2914
132,Candi Tebing Krobokan,Budaya,Gianyar,"Candi Tebing Krobokan adalah salah satu benda cagar budaya yang terletak di Pulau BaliCandi Tebing Krobokan terdapat di Desa Pejeng Kangin, Kecamatan Tampaksiring, Kabupaten Gianyar, Provinsi Bali. Untuk mencapai Candi ini dapat melalui jalur menuju Bedulu ke Gianyar, dekat dengan belokan ke Kutri, Bali.",4.2,20000,30000,08.00-17.00,"Wisata budaya, berfoto, wisata sejarah",-8.485,115.3085
133,Bali Safari & Marine Park,Alam,Gianyar,"Bali Safari and Marine Park, or Taman Safari Indonesia III is a branch of Taman Safari located in Gianyar, Bali.Bali Safari & Marine Park is state - of the - art amusement park offering a Balinese cultural entertainment and the latest design in wildlife encounter. The park is home for more than 1000 individual animals of 100 selected exotic and endemic Indonesian species such as Komodo Dragons, Or",4.6,15000,25000,08.00-17.00,"Trekking, berfoto, menikmati alam",-8.5809,115.3441
134,Puri Agung Peliatan,Budaya,Badung,"The Puri Lukisan Ratna Wartha Museum (Indonesian: Museum Puri Lukisan Ratna Warna) is the oldest art museum in Bali which specialize in modern traditional Balinese paintings and wood carvings. The museum is located in Ubud, Bali, Indonesia.",4.6,20000,30000,08.00-17.00,"Wisata budaya, berfoto, wisata sejarah",-8.5177,115.2694
135,Bukit Bangkungan,Alam,Gianyar,"Bukid ang Bukit Bangkungan sa Indonesya. Nahimutang ni sa lalawigan sa Provinsi Bali, sa habagatan-kasadpang bahin sa nasod, 1,000 km sa sidlakan sa Jakarta ang ulohan sa nasod.",4.2,15000,25000,08.00-17.00,"Trekking, berfoto, menikmati alam",-8.4963,115.3814
136,Bukit Lebuan,Alam,Gianyar,"Bukid ang Bukit Lebuan sa Indonesya. Nahimutang ni sa lalawigan sa Provinsi Bali, sa habagatan-kasadpang bahin sa nasod, 1,000 km sa sidlakan sa Jakarta ang ulohan sa nasod.",4.2,15000,25000,08.00-17.00,"Trekking, berfoto, menikmati alam",-8.493,115.3823
137,Puri Saren Agung Ubud Palace,Budaya,Badung,"The Ubud Palace, officially Puri Saren Agung, is a historical building complex situated in Ubud, Gianyar Regency of Bali, Indonesia.",4.2,20000,30000,08.00-17.00,"Wisata budaya, berfoto, wisata sejarah",-8.5066,115.2628
138,Saraswati Temple,Budaya,Badung,"Pura Taman Saraswati, officially Pura Taman Kemuda Saraswati, also known as the Ubud Water Palace, is a Balinese Hindu temple in Ubud, Bali, Indonesia. The pura is dedicated to the goddess Sarasvati.",4.6,20000,30000,08.00-17.00,"Wisata budaya, berfoto, wisata sejarah",-8.5059,115.2615
139,Museum Puri Lukisan,Budaya,Badung,"The Puri Lukisan Ratna Wartha Museum (Indonesian: Museum Puri Lukisan Ratna Warna) is the oldest art museum in Bali which specialize in modern traditional Balinese paintings and wood carvings. The museum is located in Ubud, Bali, Indonesia.",4.6,20000,30000,08.00-17.00,"Wisata budaya, berfoto, wisata sejarah",-8.5051,115.2604
140,Museum Semarajaya,Budaya,Gianyar,"The Semarajaya Museum is a museum located in Klungkung on Bali, Indonesia.Lenzi, Iola (2004). Museums of Southeast Asia.",4.6,20000,30000,08.00-17.00,"Wisata budaya, berfoto, wisata sejarah",-8.5354,115.4028
141,Klungkung Palace,Budaya,Gianyar,"The Klungkung Palace, officially Puri Agung Semarapura, is a historical building complex situated in Semarapura, the capital of the Klungkung Regency (kabupaten) on Bali, Indonesia. The palace (puri) was erected at the end of the 17th century, but largely destroyed during the Dutch colonial conquest in 1908.",4.6,20000,30000,08.00-17.00,"Wisata budaya, berfoto, wisata sejarah",-8.5356,115.403
142,Taman Kertha Gosa,Alam,Gianyar,"The Kertha Gosa Pavilion is an example of Balinese architecture located on the island of Bali, in city Klungkung, Indonesia. The Kertha Gosa Pavilion at Klungkung Palace was built in the early 18th century by Dewa Agung Gusti Sideman.",4.6,15000,25000,08.00-17.00,"Trekking, berfoto, menikmati alam",-8.5356,115.4033
143,Kertha Gosa,Alam,Gianyar,"The Kertha Gosa Pavilion is an example of Balinese architecture located on the island of Bali, in city Klungkung, Indonesia. The Kertha Gosa Pavilion at Klungkung Palace was built in the early 18th century by Dewa Agung Gusti Sideman.",4.6,15000,25000,08.00-17.00,"Trekking, berfoto, menikmati alam",-8.5355,115.4036
144,Bukit Belahdua,Alam,Gianyar,"Bukid ang Bukit Belahdua sa Indonesya. Nahimutang ni sa lalawigan sa Provinsi Bali, sa habagatan-kasadpang bahin sa nasod, 1,000 km sa sidlakan sa Jakarta ang ulohan sa nasod.",4.2,15000,25000,08.00-17.00,"Trekking, berfoto, menikmati alam",-8.4931,115.3957
145,Bukit Puncaksari,Alam,Gianyar,"Bukid ang Bukit Puncaksari sa Indonesya. Nahimutang ni sa lalawigan sa Provinsi Bali, sa habagatan-kasadpang bahin sa nasod, 1,000 km sa sidlakan sa Jakarta ang ulohan sa nasod.",4.2,15000,25000,08.00-17.00,"Trekking, berfoto, menikmati alam",-8.4847,115.3932
146,Pura Dasar Buana Gelgel,Budaya,Gianyar,"Pura Dasar Buana is a Balinese Hindu temple or pura located in Gelgel, Bali, about 3 kilometres (1.9 mi) from Semarapura. Pura Dasar Buana is one of the Pura Dang Kahyangan Jagat, a temple which was built to honor a holy teacher of Hindu teaching.",4.6,20000,30000,08.00-17.00,"Wisata budaya, berfoto, wisata sejarah",-8.5554,115.4079
147,Naka Contemporary Art Gallery,Budaya,Gianyar,"The Neka Art Museum is a museum located in Ubud on Bali, Indonesia, It was established in 1982 by Pande Wayan Suteja Neka, better known as Suteja Neka, a Balinese art dealer who had begun collecting Balinese art with the advice and help of painters Rudolf Bonnet and Arie Smit among others.Pande Wayan Suteja Neka, was the son of I Wayan Neka, a famous wood carver who was a member of the Pitamaha. S",4.6,20000,30000,08.00-17.00,"Wisata budaya, berfoto, wisata sejarah",-8.489,115.2536
148,Sanur,Alam,Badung,"Sanur (Indonesian: Pantai Sanur, pronounced sah-noor) is a coastal stretch of beach east of Denpasar in southeast Bali (about a 30-minute drive from Ngurah Rai International Airport), which has grown into a little town in its own right. A 5.1 km (3.2 mi) area of Sanur's coastline, from Matahari Terbit Beach to Mertasari Beach, was reclaimed in 2008.In 1906 the northern part of Sanur Beach was used",4.6,15000,25000,08.00-17.00,"Trekking, berfoto, menikmati alam",-8.6832,115.2565
149,Museum Le Mayeur,Budaya,Badung,"The Le Mayeur Museum is a museum containing Adrien-Jean Le Mayeur's work as well as his collection of traditional Balinese art and local artifacts. It is located in Sanur, Bali, Indonesia.Lenzi, Iola (2004).",4.2,20000,30000,08.00-17.00,"Wisata budaya, berfoto, wisata sejarah",-8.6748,115.2626
150,Bali Shell Museum,Budaya,Badung,"The Bali Museum is a museum of art and history located in Denpasar, Bali, Indonesia.The museum was built in 1931 by architect P.J. Moojen, near the location of the former royal palace of Denpasar, which had been burnt to the ground during the Dutch intervention in Bali (1906), and used it as a model for its outside walls and courtyards.There are four main buildings inside the museum, Tabanan displ",4.6,20000,30000,08.00-17.00,"Wisata budaya, berfoto, wisata sejarah",-8.7143,115.1867
151,Pura Dalem Sakenan,Budaya,Badung,"Pura Dalem Sakenan is a pura (Balinese Hindu temple) located at the north-western shore of Serangan, a small island about 10 kilometres (6.2 mi) south of Denpasar, Bali. Pura Dalem Sakenan is dedicated to [rambut sedhana] and is associated with prosperity.",4.2,20000,30000,08.00-17.00,"Wisata budaya, berfoto, wisata sejarah",-8.7251,115.2294
